bars_per_day,threshold,n_oos,beta0,t0,beta1,t1,r2,median_dur_sec,one_bucket_share
10.0,523438.1,29576,0.22484432995705356,73.0579917418682,-0.029809093840764557,-15.661429756808326,0.3145056676475021,990.0,0.014
50.0,104687.62,141051,0.24479707001510817,127.99905661990645,-0.014865263049653283,-14.690948635838295,0.31773440073984494,180.0,0.054
100.0,52343.81,265389,0.24870367094694568,148.58378234395948,-0.010874346600833862,-13.439279139153973,0.3196270793049787,90.0,0.098
200.0,26171.9,474764,0.2520045942310642,166.06116454090204,-0.008520888689862602,-11.812158208221243,0.31968040642515316,50.0,0.171
500.0,10468.76,898659,0.25607464830485405,181.05634127598896,-0.005303922749664947,-8.022021976423478,0.31912732862473325,30.0,0.314
1000.0,5234.38,1266792,0.25795638668440857,185.88293151629938,-0.0026169737794130114,-4.084196711574337,0.31750968204486285,20.0,0.421
2000.0,2617.19,1561009,0.2589486227386091,188.38671603793017,-0.0005294583943080127,-0.8342956812761142,0.31605179364890645,20.0,0.492
5000.0,1046.88,1622398,0.2589866609564889,188.89558401223792,-0.00019540417086687795,-0.3086566533800262,0.31599077199986947,10.0,0.506
,,1622398,0.2589866609564889,188.89558401223792,-0.00019540417086687795,-0.3086566533800262,0.31599077199986947,10.0,1.0
