min_obs,n_windows,mean_r2,weighted_r2,median_r2
10,28595,0.5382054875875956,0.5492686363370214,0.5490871266659682
30,20103,0.5445980886035338,0.5525144768539677,0.553981128139686
90,5479,0.5677050546177514,0.5692848340996544,0.5774809588979399
