seed,sharpe,cagr_pct,mdd_pct,ann_vol_pct,total_pct
127,-1.017,-7.4,-21.58,6.92,-16.323
128,-0.585,-4.16,-19.53,6.92,-9.394
129,-1.032,-7.51,-21.04,6.92,-16.563
130,-0.257,-1.8,-17.76,6.92,-4.122
131,-1.993,-15.32,-34.92,6.92,-31.998
132,-1.233,-9.07,-21.07,6.92,-19.794
133,-0.811,-5.84,-21.93,6.92,-13.019
134,0.203,1.39,-9.96,6.92,3.253
135,-0.215,-1.5,-10.07,6.92,-3.45
136,0.445,3.02,-13.88,6.92,7.145
137,-1.543,-11.55,-27.17,6.92,-24.776
138,0.211,1.45,-10.82,6.92,3.394
139,1.133,7.47,-6.57,6.92,18.193
140,0.405,2.76,-11.61,6.92,6.506
141,-0.418,-2.95,-15.56,6.92,-6.709
142,-1.648,-12.41,-28.63,6.92,-26.452
143,0.752,5.04,-6.38,6.92,12.071
144,-0.138,-0.96,-16.85,6.92,-2.223
145,-0.286,-2.01,-6.76,6.92,-4.591
146,-0.644,-4.6,-15.38,6.92,-10.344
147,0.286,1.95,-6.94,6.92,4.586
148,-1.641,-12.35,-26.7,6.92,-26.338
149,0.355,2.42,-13.78,6.92,5.699
150,-0.762,-5.47,-17.83,6.92,-12.227
151,0.451,3.06,-5.92,6.92,7.24
152,-1.034,-7.53,-19.65,6.92,-16.601
153,-0.485,-3.43,-16.5,6.92,-7.78
154,-0.908,-6.57,-20.61,6.92,-14.58
155,0.586,3.96,-7.99,6.92,9.413
156,-0.029,-0.2,-9.86,6.92,-0.472
157,-0.067,-0.46,-14.55,6.92,-1.073
158,0.156,1.07,-11.88,6.92,2.503
159,-1.577,-11.83,-28.46,6.92,-25.319
160,-0.77,-5.53,-14.69,6.92,-12.366
161,-0.178,-1.24,-12.78,6.92,-2.859
162,0.225,1.54,-10.97,6.92,3.605
163,0.091,0.62,-11.87,6.92,1.455
164,0.486,3.29,-8.06,6.92,7.795
165,-0.864,-6.24,-18.49,6.92,-13.871
166,-0.858,-6.19,-19.19,6.92,-13.774
167,-0.689,-4.93,-12.77,6.92,-11.06
168,-0.587,-4.18,-12.19,6.92,-9.43
169,-0.581,-4.14,-15.42,6.92,-9.33
170,-1.154,-8.45,-22.83,6.92,-18.522
171,-1.203,-8.84,-24.7,6.92,-19.307
172,-0.43,-3.03,-16.3,6.92,-6.898
173,0.113,0.78,-11.62,6.92,1.818
174,-0.534,-3.79,-20.18,6.92,-8.571
175,-0.495,-3.51,-15.71,6.92,-7.953
176,-0.421,-2.97,-10.25,6.92,-6.751
177,0.254,1.74,-12.35,6.92,4.083
178,0.419,2.84,-8.72,6.92,6.72
179,-0.483,-3.42,-13.31,6.92,-7.76
180,-0.201,-1.4,-12.62,6.92,-3.222
181,0.91,6.05,-7.77,6.92,14.601
182,-0.179,-1.25,-14.54,6.92,-2.875
183,0.768,5.14,-7.73,6.92,12.328
184,0.408,2.77,-6.89,6.92,6.546
185,0.089,0.61,-7.4,6.92,1.428
186,-0.117,-0.81,-8.33,6.92,-1.877
187,0.431,2.93,-15.73,6.92,6.924
188,-0.478,-3.38,-13.6,6.92,-7.669
189,-0.4,-2.82,-12.0,6.92,-6.419
190,-1.297,-9.58,-24.26,6.92,-20.818
191,-0.922,-6.67,-25.06,6.92,-14.796
192,0.184,1.26,-9.63,6.92,2.957
193,-1.237,-9.1,-24.81,6.92,-19.854
194,-0.318,-2.23,-10.25,6.92,-5.103
195,-0.807,-5.81,-16.68,6.92,-12.957
196,-0.535,-3.8,-17.66,6.92,-8.589
197,-0.808,-5.81,-18.38,6.92,-12.97
198,-0.212,-1.48,-13.33,6.92,-3.402
199,-0.603,-4.29,-15.95,6.92,-9.673
