bars_per_day,threshold,n_oos,beta0,t0,beta1,t1,r2,median_dur_min,one_min_share
150,34895.87,276482,0.2432955402031426,74.12607424838006,-0.011770595637041867,-12.824544293618215,0.31925410984916347,2.0,0.443
200,26171.9,325077,0.24525021423981508,74.86671543021453,-0.011440179592780082,-12.726608776938328,0.31998505783382203,1.0,0.503
300,17447.94,395134,0.2470811155358204,76.00152011477192,-0.010949111686237419,-12.726681758036506,0.32268516724255114,1.0,0.58
500,10468.76,477667,0.24935375378407243,76.8614114606666,-0.010539865443977826,-12.433890345101712,0.3233561164745986,1.0,0.661
1000,5234.38,568021,0.2510987510627696,77.49937447696072,-0.010211656096598163,-12.316503718083553,0.3240549935151683,1.0,0.743
