label,n,beta_ofi,t_ofi,beta_lag,t_lag,r2
Full sample,781273,0.290254421019308,85.62621757749802,-0.008655858910210932,-11.376198003538965,0.3883042194011719
In-sample 2021-02 to 2023-12,349243,0.3084484951937815,80.9577010327906,-0.005188253739985994,-4.438917171247546,0.35309421893964366
Out-of-sample 2024-01 onward,432030,0.27815545114120654,56.903078220071066,-0.01121361821932296,-11.23048246412287,0.4249984866718488
