label,n,beta_ofi,t_ofi,p_ofi,beta_ofi_lag,t_ofi_lag,p_ofi_lag,r2
Full sample,37890,0.271320938172415,67.76501846881183,0.0,-0.028385976723670908,-13.54054206876789,0.0,0.3107533925336261
In-sample 2021-02 to 2023-12,12344,0.30008103362795857,44.90285105529866,0.0,-0.025257739311020627,-6.979014918875647,2.972511126131394e-12,0.306797976969155
Out-of-sample 2024-01 to 2026-04,25546,0.24888396004865065,52.84313255699265,0.0,-0.02967094030285594,-12.26232224487899,0.0,0.32175162911213107
