analysis,gamma,ci_lo,ci_hi,r2_power,r2_linear,n,beta_pos,t_pos,beta_neg,t_neg,diff,t_diff,median_spread_bp,beta0_bp,t_beta0,r2
concavity,0.58,0.54,0.6,0.3248170408737616,0.2944674220251404,28711,,,,,,,,,,
asymmetry,,,,,,28711,0.21503200390249114,27.03339221023989,0.2142911015792902,35.4427195048664,0.000740902323200926,0.06159054982141263,,,,
spread_narrow,,,,,,9570,,,,,,,2.180668381337996,0.5782917423528767,31.991527698907348,0.36881015989324173
spread_middle,,,,,,9570,,,,,,,3.427983774210136,0.7612301655267248,52.89475105906087,0.4061995045048934
spread_wide,,,,,,9571,,,,,,,5.902316659288771,1.0305782405748884,43.86184337458356,0.31519408165380525
spread_interaction,,,,,,28711,,,,,,,,0.09745408509386036,17.055794142203595,
