signal_bars,entry_z,max_hold,zlb,filter_event,filter_weekend,cap_h,n_trades,sr_is,sr_oos,sortino_is,calmar_is
3,1.0,1,200,False,False,0.016666666666666666,7966,2.3601527078537914,4.545666524641676,7.165327975988154,6.561344145352583
3,1.0,1,200,False,False,0.16666666666666666,9251,3.3205151393383443,4.543995503018959,5.588763404157323,4.447582017852486
3,1.0,1,200,False,False,0.5,10588,2.351977498485725,3.1494586737711354,3.514199319568906,2.2364093606993682
3,1.0,1,200,False,False,1.0,11353,1.5347233433527352,2.4191005983889515,2.202967751585079,1.5658356375374882
3,1.0,1,200,False,False,3.0,12107,0.6087425319132336,2.2511768825764427,0.8298577898015274,0.4299107729546078
3,1.0,1,200,True,False,0.016666666666666666,7904,2.392863893927755,4.531775672839315,7.336700528625244,6.8818415418139764
3,1.0,1,200,True,False,0.16666666666666666,9177,3.278561653460563,4.579644654087074,5.518968314607585,4.32814781117225
3,1.0,1,200,True,False,0.5,10497,2.3834156561592943,3.2230761906859047,3.5680374642294534,2.187521801315299
3,1.0,1,200,True,False,1.0,11261,1.5655338253155828,2.483798764000441,2.2498170315577934,1.5380698080523825
3,1.0,1,200,True,False,3.0,12009,0.6411689512158988,2.2999755925164607,0.8745394042698375,0.4465347178377025
3,1.0,1,200,False,True,0.016666666666666666,7953,2.3547879782719887,4.5520233311102025,7.148681525176372,6.546540093120378
3,1.0,1,200,False,True,0.16666666666666666,9237,3.2983250718349644,4.576299947982111,5.547535578860998,4.417508059753975
3,1.0,1,200,False,True,0.5,10576,2.311821698091879,3.1784846761162506,3.4507468999939808,2.2006167107583496
3,1.0,1,200,False,True,1.0,11336,1.5057801601066496,2.4399421130666927,2.160241234157771,1.5376388742793494
3,1.0,1,200,False,True,3.0,12088,0.5682207363608783,2.2854957981610946,0.774120482720858,0.40205576720789776
3,1.0,1,200,True,True,0.016666666666666666,7891,2.3875537766738706,4.538149694349813,7.32005804040472,6.866690944898815
3,1.0,1,200,True,True,0.16666666666666666,9163,3.2562872413398596,4.612023937320723,5.4776182833848415,4.298389486732545
3,1.0,1,200,True,True,0.5,10485,2.343030937219915,3.252248859754851,3.5040221034789414,2.152781845659723
3,1.0,1,200,True,True,1.0,11244,1.536463291332589,2.5047335676184983,2.20682120721849,1.5108091513899302
3,1.0,1,200,True,True,3.0,11990,0.6004876353944413,2.334450326466667,0.8185214027707917,0.4189926426843952
3,1.0,3,200,False,False,0.016666666666666666,7966,2.3601527078537914,4.545666524641676,7.165327975988154,6.561344145352583
3,1.0,3,200,False,False,0.16666666666666666,7257,3.236516692596453,5.0323518482451925,5.310000518342347,3.448209506224434
3,1.0,3,200,False,False,0.5,6649,3.252389051074755,3.5237806467046298,5.0533293242041815,3.9782382825347278
3,1.0,3,200,False,False,1.0,6384,1.7861940737348811,2.9709972409175043,2.5867745189351132,1.6807070311224799
3,1.0,3,200,False,False,3.0,6169,0.992763620649476,2.3782305231442686,1.3829914720583492,0.9618699803395435
3,1.0,3,200,True,False,0.016666666666666666,7904,2.392863893927755,4.531775672839315,7.336700528625244,6.8818415418139764
3,1.0,3,200,True,False,0.16666666666666666,7200,3.1800611850733462,5.095285103211073,5.210609191510247,3.378165296782845
3,1.0,3,200,True,False,0.5,6601,3.335731264844244,3.5987657581232355,5.202876981953858,4.551147086195728
3,1.0,3,200,True,False,1.0,6337,1.8466083730687552,3.086728899497012,2.677846758290766,1.7339630767070022
3,1.0,3,200,True,False,3.0,6127,0.9923622028902841,2.4920263514769823,1.3820842867716727,0.9531933583784458
3,1.0,3,200,False,True,0.016666666666666666,7953,2.3547879782719887,4.5520233311102025,7.148681525176372,6.546540093120378
3,1.0,3,200,False,True,0.16666666666666666,7245,3.213894195177373,5.055648347251089,5.269063206875213,3.4237603976921087
3,1.0,3,200,False,True,0.5,6640,3.212201612467521,3.569303174338685,4.985539449401211,3.4665634789224953
3,1.0,3,200,False,True,1.0,6375,1.7604455572977311,3.019306781105611,2.548228558389638,1.6578057858942752
3,1.0,3,200,False,True,3.0,6162,0.9630932816359699,2.4251844117669146,1.3415450458800011,0.9337495695901274
3,1.0,3,200,True,True,0.016666666666666666,7891,2.3875537766738706,4.538149694349813,7.32005804040472,6.866690944898815
3,1.0,3,200,True,True,0.16666666666666666,7188,3.1573336270377097,5.1186663789628115,5.169593787901231,3.353672759863191
3,1.0,3,200,True,True,0.5,6592,3.295234148750964,3.644446413754701,5.1340808203521915,3.907752637107824
3,1.0,3,200,True,True,1.0,6328,1.8206745150361587,3.1352173597661994,2.6389156346722364,1.7109621877379981
3,1.0,3,200,True,True,3.0,6120,0.9624758023990309,2.539193038507032,1.3403459354220042,0.9262389449644222
3,1.0,5,200,False,False,0.016666666666666666,7966,2.3601527078537914,4.545666524641676,7.165327975988154,6.561344145352583
3,1.0,5,200,False,False,0.16666666666666666,7140,3.5090009342749524,5.122016344886277,6.005894116911794,4.511908969553184
3,1.0,5,200,False,False,0.5,6287,3.1640934008929786,3.4327171043045897,4.928473530257427,3.397088347749874
3,1.0,5,200,False,False,1.0,5792,2.014724814822261,2.8401820067434573,2.932380857058987,1.8173206302729112
3,1.0,5,200,False,False,3.0,5335,1.2286963119308683,2.27106853202668,1.7181109049634073,1.022936678405566
3,1.0,5,200,True,False,0.016666666666666666,7904,2.392863893927755,4.531775672839315,7.336700528625244,6.8818415418139764
3,1.0,5,200,True,False,0.16666666666666666,7084,3.4420224174590808,5.165879076856966,5.884881529151471,4.410990275208494
3,1.0,5,200,True,False,0.5,6240,3.222265040382137,3.540674939986176,5.031697615348271,3.805393359725864
3,1.0,5,200,True,False,1.0,5753,2.0124327415110073,2.9679969921162095,2.928650211185822,1.7877273527750357
3,1.0,5,200,True,False,3.0,5301,1.2292754863457656,2.334417692884454,1.7196038208954527,1.0135486276219117
3,1.0,5,200,False,True,0.016666666666666666,7953,2.3547879782719887,4.5520233311102025,7.148681525176372,6.546540093120378
3,1.0,5,200,False,True,0.16666666666666666,7128,3.4863535895044344,5.145600909381593,5.96270777301786,4.482241535041832
3,1.0,5,200,False,True,0.5,6277,3.1237678471808312,3.4625989970943705,4.86039384496683,3.00264176520871
3,1.0,5,200,False,True,1.0,5784,1.9890418980897175,2.854322036562332,2.893571403562777,1.7955472957651333
3,1.0,5,200,False,True,3.0,5326,1.2053341990949207,2.282628587694926,1.6854246532529915,1.0051823677693885
3,1.0,5,200,True,True,0.016666666666666666,7891,2.3875537766738706,4.538149694349813,7.32005804040472,6.866690944898815
3,1.0,5,200,True,True,0.16666666666666666,7072,3.4192546399792643,5.189553698595506,5.841586782610175,4.381264162368422
3,1.0,5,200,True,True,0.5,6230,3.181652181496967,3.5706335231093873,4.962798936455554,3.325454359964247
3,1.0,5,200,True,True,1.0,5745,1.9865561787737847,2.982228529437085,2.8895436338044953,1.766104121359156
3,1.0,5,200,True,True,3.0,5292,1.2057546413779154,2.3460574212468526,1.68668165909642,0.9958417343802031
3,1.0,10,200,False,False,0.016666666666666666,7966,2.3601527078537914,4.545666524641676,7.165327975988154,6.561344145352583
3,1.0,10,200,False,False,0.16666666666666666,7123,3.5200559151533803,5.049796955900479,6.025339858644902,4.525305772595915
3,1.0,10,200,False,False,0.5,6159,3.2383315522569394,3.3755678560594213,5.053430830437455,3.479640770849035
3,1.0,10,200,False,False,1.0,5526,1.842420919210385,2.782743768857742,2.664833151925232,1.7210815594406617
3,1.0,10,200,False,False,3.0,4802,1.2716370650820454,2.4665727602289147,1.7808843068611808,1.0318512849033374
3,1.0,10,200,True,False,0.016666666666666666,7904,2.392863893927755,4.531775672839315,7.336700528625244,6.8818415418139764
3,1.0,10,200,True,False,0.16666666666666666,7068,3.453121899816698,5.096145240611347,5.90437735262875,4.4244135174016535
3,1.0,10,200,True,False,0.5,6114,3.3138239883597014,3.4796212857375237,5.189638602573799,3.912926815123196
3,1.0,10,200,True,False,1.0,5495,1.8511642399916919,2.9029337862258817,2.678256856385463,1.7011697706077964
3,1.0,10,200,True,False,3.0,4781,1.2539763226820995,2.6213711357832117,1.7560649705402789,1.0082341101860515
3,1.0,10,200,False,True,0.016666666666666666,7953,2.3547879782719887,4.5520233311102025,7.148681525176372,6.546540093120378
3,1.0,10,200,False,True,0.16666666666666666,7111,3.4974178555897897,5.073310957166904,5.982152714898415,4.495653143671238
3,1.0,10,200,False,True,0.5,6149,3.1981688302893643,3.4054414042750696,4.985382751112035,3.0766600162733777
3,1.0,10,200,False,True,1.0,5518,1.8166409830941284,2.774964656477256,2.6262469448817267,1.6983465487865081
3,1.0,10,200,False,True,3.0,4794,1.24841680205392,2.4713537055228856,1.7483444663539671,1.0147074262218603
3,1.0,10,200,True,True,0.016666666666666666,7891,2.3875537766738706,4.538149694349813,7.32005804040472,6.866690944898815
3,1.0,10,200,True,True,0.16666666666666666,7056,3.4303635343426335,5.119743840802693,5.861081800031593,4.394702319345
3,1.0,10,200,True,True,0.5,6104,3.2733612012198594,3.509568265354455,5.120634703378622,3.4207657793276263
3,1.0,10,200,True,True,1.0,5487,1.825184233940205,2.8958461153985326,2.6393423649951275,1.6786178420672957
3,1.0,10,200,True,True,3.0,4773,1.2305896726124144,2.626918157894937,1.7232935340063573,0.9910988888779221
3,1.5,1,200,False,False,0.016666666666666666,3626,1.6636978303622678,3.348484293485808,6.316912218884209,4.431344850316759
3,1.5,1,200,False,False,0.16666666666666666,4175,2.3373956948095316,3.165939676663669,3.9876859941846083,3.8983983820651518
3,1.5,1,200,False,False,0.5,4634,1.923372646487565,1.6570210547950126,3.0203074605796902,2.2782644735146
3,1.5,1,200,False,False,1.0,4921,1.5745017685464833,1.356915789807463,2.393679425524152,1.4629261249797876
3,1.5,1,200,False,False,3.0,5169,0.9851148728462895,1.188077342924094,1.4425631206060208,0.7913816570377006
3,1.5,1,200,True,False,0.016666666666666666,3598,1.6532691252866298,3.3658557977997483,6.283177729300923,4.402755936876383
3,1.5,1,200,True,False,0.16666666666666666,4139,2.3186994455734955,3.2116718569329974,3.9622929652081207,3.8574457160897806
3,1.5,1,200,True,False,0.5,4590,1.9243192194700975,1.770075061734014,3.02797125682339,2.272111691643193
3,1.5,1,200,True,False,1.0,4877,1.5804395409765464,1.4466948734355782,2.405920569324685,1.4647828486441627
3,1.5,1,200,True,False,3.0,5123,0.9861893289186103,1.2766226062931842,1.4458709883921022,0.79007585683163
3,1.5,1,200,False,True,0.016666666666666666,3618,1.6581436882892988,3.3394211142775942,6.295414910214835,4.416453054859091
3,1.5,1,200,False,True,0.16666666666666666,4169,2.3101065247009904,3.1786374390971566,3.93572938612819,3.8498096929310295
3,1.5,1,200,False,True,0.5,4628,1.8720331528382423,1.6596711373850839,2.932980833592075,2.21844676535024
3,1.5,1,200,False,True,1.0,4914,1.527513092644166,1.3548736841645024,2.3184125727618015,1.420306127863698
3,1.5,1,200,False,True,3.0,5161,0.9403418299232972,1.1741824016560864,1.3753044648248238,0.7561284163222498
3,1.5,1,200,True,True,0.016666666666666666,3590,1.647712749448628,3.3567786397066546,6.261654186007999,4.387861364276899
3,1.5,1,200,True,True,0.16666666666666666,4133,2.2913120037557433,3.2243789479511515,3.9100938575326905,3.808811363718112
3,1.5,1,200,True,True,0.5,4584,1.8728146916321795,1.7726991079068006,2.940141661121725,2.2122780164661924
3,1.5,1,200,True,True,1.0,4870,1.5333428344547875,1.44463806347413,2.33034914016359,1.422167936810015
3,1.5,1,200,True,True,3.0,5115,0.9412930589239027,1.2626627304913882,1.3783376425321572,0.7548185639414433
3,1.5,3,200,False,False,0.016666666666666666,3626,1.6636978303622678,3.348484293485808,6.316912218884209,4.431344850316759
3,1.5,3,200,False,False,0.16666666666666666,3329,2.3310457658356887,4.1141468870960844,3.8772820340161944,2.766144410547504
3,1.5,3,200,False,False,0.5,3149,2.1315719803655693,2.732165831310033,3.34718634409859,3.6716732734355673
3,1.5,3,200,False,False,1.0,3054,1.5626765028835894,2.3252130441624135,2.345508888754369,1.7314320693562961
3,1.5,3,200,False,False,3.0,2965,0.7576757412960363,2.21353144638519,1.0894745938961496,0.698308391714302
3,1.5,3,200,True,False,0.016666666666666666,3598,1.6532691252866298,3.3658557977997483,6.283177729300923,4.402755936876383
3,1.5,3,200,True,False,0.16666666666666666,3302,2.339668947363841,4.171931605106813,3.899631643200782,2.7682621694317766
3,1.5,3,200,True,False,0.5,3125,2.1980322862786084,2.8541836269566225,3.469763932510903,3.7721984255797305
3,1.5,3,200,True,False,1.0,3030,1.620607818550694,2.4233312781068728,2.4425515161476494,1.7846196303796011
3,1.5,3,200,True,False,3.0,2942,0.82004901914321,2.2978889685757165,1.1826982898159941,0.7505448306154066
3,1.5,3,200,False,True,0.016666666666666666,3618,1.6581436882892988,3.3394211142775942,6.295414910214835,4.416453054859091
3,1.5,3,200,False,True,0.16666666666666666,3322,2.303796971797523,4.126650333802168,3.826728837031041,2.731643137539688
3,1.5,3,200,False,True,0.5,3143,2.084002278633348,2.7281473342023057,3.2658951849436937,3.0417433394419926
3,1.5,3,200,False,True,1.0,3050,1.5203458975033792,2.3404665449559827,2.278939114729689,1.685934172405246
3,1.5,3,200,False,True,3.0,2961,0.7171415434344516,2.2256833648156773,1.030302062272202,0.6617851734692983
3,1.5,3,200,True,True,0.016666666666666666,3590,1.647712749448628,3.3567786397066546,6.261654186007999,4.387861364276899
3,1.5,3,200,True,True,0.16666666666666666,3295,2.3123621294419547,4.184453302558649,3.8488277869846588,2.7337632561682463
3,1.5,3,200,True,True,0.5,3119,2.150276376421795,2.8501104673836837,3.3874259373137114,3.1551314532629426
3,1.5,3,200,True,True,1.0,3026,1.578120969042512,2.438699025575245,2.375311507355724,1.7392644122951848
3,1.5,3,200,True,True,3.0,2938,0.7793605260882709,2.3101461248048376,1.123037589273222,0.7141964869325147
3,1.5,5,200,False,False,0.016666666666666666,3626,1.6636978303622678,3.348484293485808,6.316912218884209,4.431344850316759
3,1.5,5,200,False,False,0.16666666666666666,3288,2.2550003043393887,3.9079916096315785,3.7131646467722565,2.6685989540316553
3,1.5,5,200,False,False,0.5,3025,2.2890333202598288,2.582717476264692,3.6497025113354913,4.275849378259768
3,1.5,5,200,False,False,1.0,2874,1.6468720556470193,2.0425926379016377,2.4821289692538757,1.6390162539826216
3,1.5,5,200,False,False,3.0,2712,1.0145029865350506,1.9338894758520058,1.4714707571247732,0.9374357659190031
3,1.5,5,200,True,False,0.016666666666666666,3598,1.6532691252866298,3.3658557977997483,6.283177729300923,4.402755936876383
3,1.5,5,200,True,False,0.16666666666666666,3261,2.263398833254423,3.9415983851985135,3.7342869649999155,2.670713150444692
3,1.5,5,200,True,False,0.5,3002,2.3643202224973043,2.6780635526233234,3.7934808713318358,4.384679047930913
3,1.5,5,200,True,False,1.0,2853,1.7362715763320675,2.149373625183905,2.630360393686925,1.7144678011674792
