spec,term,coef,t,n
baseline: contemporaneous spread,spread_bp_c,0.09740686893268945,17.04061354929569,28691
spread lagged one bar,s_lag_c,0.07340248745033856,10.459843181306718,28691
spread + volatility control,spread_bp_c,0.080823530879328,13.759597918507826,28691
spread + volatility control,vol_c,0.005215753766697915,8.225800372607416,28691
lagged spread + volatility control,s_lag_c,0.05103724845934963,7.127553546721196,28691
lagged spread + volatility control,vol_c,0.00609888131952449,8.008976149020276,28691
vol_tercile_low,s_lag_c,0.03529032357960005,2.776855852467645,9564
vol_tercile_mid,s_lag_c,0.056703373746164625,4.51836175937691,9563
vol_tercile_high,s_lag_c,0.055442876451435835,5.746510325505838,9564
